path	text
wav/f1c16c59-mor-hou-paulien-ook-keek-was-gain-moane-te-zain.wav	mor hou paulien ook keek was gain moane te zain
wav/f1c16c59-ze-trok-gedienen-nait-dicht.wav	ze trok gedienen nait dicht
wav/916c1e46-doar-ston-t-wichtje-allain-in-t-duuster.wav	doar ston t wichtje allain in t duuster
wav/0a4ee0e6-tikkie-doun-we-zo-voak.wav	tikkie doun we zo voak
wav/916c1e46-ach-tou-k-bin-nog-zo-mooi-aan-t-speulen-nog-eventjes.wav	ach tou k bin nog zo mooi aan t speulen nog eventjes
wav/916c1e46-der-was-inbroken-in-borg.wav	der was inbroken in borg
wav/f1c16c59-ze-stak-heur-haand-uut-en-vuilde-of-ze-de-toverstaine-vinden-kon.wav	ze stak heur haand uut en vuilde of ze de toverstaine vinden kon
wav/916c1e46-begon-els-t-zulfs-schier-te-vinden.wav	begon els t zulfs schier te vinden
wav/916c1e46-hinterdetwinter-in-t-blaikveld-stoan-nou-al-vroug-in-t-veujoar.wav	hinterdetwinter in t blaikveld stoan nou al vroug in t veujoar
wav/0a4ee0e6-wel-n-asemmer-omschopt-dut-nait-meer-mit.wav	wel n asemmer omschopt dut nait meer mit
wav/f1c16c59-ze-wazzen-even-stiekom-mit-heur-baaident-aan-t-smikkeln.wav	ze wazzen even stiekom mit heur baaident aan t smikkeln
wav/f1c16c59-wat-mos-ze-den-wensen.wav	wat mos ze den wensen
wav/916c1e46-want-ze-haiten-ook-wel-snijklokjes.wav	want ze haiten ook wel snijklokjes
wav/f1c16c59-mor-de-stroalen-schitterden-zo-dat-t-haile-koamertje-der-licht-van-wor.wav	mor de stroalen schitterden zo dat t haile koamertje der licht van wor
wav/2ba93514-zai-vuilde-heur-din-zo-allinneg.wav	zai vuilde heur din zo allinneg
wav/f1c16c59-doar-paasde-zai-ins-nait-tussen-met-heur-korde-nachtponne-aan.wav	doar paasde zai ins nait tussen met heur korde nachtponne aan
wav/2ba93514-elk-popke-kwam-tot-leven.wav	elk popke kwam tot leven
wav/f1c16c59-mor-dat-zag-gelokkeg-gainaine.wav	mor dat zag gelokkeg gainaine
wav/916c1e46-ales-beter-as-hier-mor-wat-in-t-duuster-te-liggen-nait.wav	ales beter as hier mor wat in t duuster te liggen nait
wav/f1c16c59-paulien-kreeg-n-dikke-bos-bloumen-mit-laange-blaauwe-linten-der-aan.wav	paulien kreeg n dikke bos bloumen mit laange blaauwe linten der aan
wav/0a4ee0e6-dkinder-op-school-ploagen-hom-doarmit.wav	dkinder op school ploagen hom doarmit
wav/f1c16c59-mit-steert-tussen-de-pootjes-luip-hai-den-mor-weer-vot-en-jankde-zachies-veur-zok-uut.wav	mit steert tussen de pootjes luip hai den mor weer vot en jankde zachies veur zok uut
wav/f1c16c59-ze-stapte-t-grode-teneel-op-en-ging-op-t-krukje-zitten-achter-n-grode-widde-vleugelpioano.wav	ze stapte t grode teneel op en ging op t krukje zitten achter n grode widde vleugelpioano
wav/0a4ee0e6-hielemoal-van-neis-vaarfd-rooie-ziekanten-met-n-gruun-dakje.wav	hielemoal van neis vaarfd rooie ziekanten met n gruun dakje
wav/f1c16c59-mit-zien-staarke-tanden-trok-hai-t-jonkje-aan-de-kleren-uut-t-wotter.wav	mit zien staarke tanden trok hai t jonkje aan de kleren uut t wotter
wav/f1c16c59-t-was-ook-ja-n-hail-biezundere-swieniegel.wav	t was ook ja n hail biezundere swieniegel
wav/f1c16c59-van-wel-hest-dij-kregen.wav	van wel hest dij kregen
wav/916c1e46-t-was-nog-volop-winter-in-toen.wav	t was nog volop winter in toen
wav/916c1e46-en-achterin-stonden-nog-wat-riegen-weckpotten-op-plaank.wav	en achterin stonden nog wat riegen weckpotten op plaank
wav/916c1e46-al-was-grond-wel-lekker-zaacht.wav	al was grond wel lekker zaacht
wav/f1c16c59-paulien-en-alfred-haren-de-haile-dag-speuld-in-de-dreuge-sloot-dij-tussen-baaide-huzen-lag.wav	paulien en alfred haren de haile dag speuld in de dreuge sloot dij tussen baaide huzen lag
wav/f1c16c59-dou-was-der-meziek-in-de-koele-onder-de-hege.wav	dou was der meziek in de koele onder de hege
wav/f1c16c59-ze-luip-t-middenpad-deur-en-ale-mensen-begonnen-haard-te-klappen.wav	ze luip t middenpad deur en ale mensen begonnen haard te klappen
wav/0a4ee0e6-ze-vladderden-hiel-driest-op-de-til-of.wav	ze vladderden hiel driest op de til of
wav/f1c16c59-aaltied-wuir-hai-ofblaft-omdat-e-zo-swaart-was.wav	aaltied wuir hai ofblaft omdat e zo swaart was
wav/f1c16c59-en-midden-in-dij-kertonnen-deuze-lag-n-lutje-hondje.wav	en midden in dij kertonnen deuze lag n lutje hondje
wav/916c1e46-hufst-nait-baang-wezen.wav	hufst nait baang wezen
wav/f1c16c59-pa-en-moe-en-oma-mozzen-der-haard-om-laggen.wav	pa en moe en oma mozzen der haard om laggen
wav/916c1e46-och-t-zol-wel-n-kestaanjetak-wezen-onnaaierde-ze.wav	och t zol wel n kestaanjetak wezen onnaaierde ze
wav/916c1e46-en-hil-heur-stief-aan-klaiden-vaast.wav	en hil heur stief aan klaiden vaast
wav/0a4ee0e6-hai-woont-hailmoal-achteraan-in-dstroat.wav	hai woont hailmoal achteraan in dstroat
wav/f1c16c59-nou-den-zel-t-wel-zo-wezen.wav	nou den zel t wel zo wezen
wav/916c1e46-mor-daandere-bloumbollen-raipen-heur-tot-order.wav	mor daandere bloumbollen raipen heur tot order
wav/f1c16c59-dou-gingen-de-mensen-weer-zitten.wav	dou gingen de mensen weer zitten
wav/0a4ee0e6-benaneschil-mout-je-nait-op-dstroat-gooien-hur.wav	benaneschil mout je nait op dstroat gooien hur
wav/916c1e46-doar-ging-t-hin.wav	doar ging t hin
wav/f1c16c59-eerst-hail-zachies-bewogen-heur-handen-over-de-toetsen.wav	eerst hail zachies bewogen heur handen over de toetsen
wav/f1c16c59-ze-keek-ais-bie-zok-laangs-en-ze-haar-weer-heur-korde-nachtponne-aan.wav	ze keek ais bie zok laangs en ze haar weer heur korde nachtponne aan
wav/0a4ee0e6-as-moeke-aan-t-siepels-snieden-is-den-het-ze-troanen-in-dogen.wav	as moeke aan t siepels snieden is den het ze troanen in dogen
wav/916c1e46-en-hilden-ale-bloumbollen-heur-wintersloap.wav	en hilden ale bloumbollen heur wintersloap
wav/0a4ee0e6-of-zai-k-der-nait-gezond-uut-meschien.wav	of zai k der nait gezond uut meschien
wav/916c1e46-kroop-ze-tot-ber-oet-en-ging-veur-t-roam-van-t-akkenailtje-stoan.wav	kroop ze tot ber oet en ging veur t roam van t akkenailtje stoan
wav/916c1e46-dat-vertellen-wie-die-loater-wel.wav	dat vertellen wie die loater wel
wav/2ba93514-dizze-keer-zel-ik-ze-veul-langer-bakken-din-kieken-we-wat-der-gebeurt.wav	dizze keer zel ik ze veul langer bakken din kieken we wat der gebeurt
wav/916c1e46-mor-of-ze-nog-n-moal-weer-mitging.wav	mor of ze nog n moal weer mitging
wav/f1c16c59-wiert-mos-der-aalweg-noar-kieken.wav	wiert mos der aalweg noar kieken
wav/916c1e46-dij-ging-as-eerste-weer-op-pad.wav	dij ging as eerste weer op pad
wav/0a4ee0e6-k-heb-net-n-lekker-appeltje-opeten.wav	k heb net n lekker appeltje opeten
wav/2ba93514-en-ook-aapmoal-weer-n-beetje-verschillend.wav	en ook aapmoal weer n beetje verschillend
wav/916c1e46-en-t-zat-ook-nog-potdicht-van-de-mist.wav	en t zat ook nog potdicht van de mist
wav/2ba93514-nou-zellen-ze-wel-kloar-wezen.wav	nou zellen ze wel kloar wezen
wav/916c1e46-zo-ist-ook-oflopen.wav	zo ist ook oflopen
wav/f1c16c59-gelokkeg-scheen-de-moane-mit-volle-wangen.wav	gelokkeg scheen de moane mit volle wangen
wav/2ba93514-zee-hebt-ons-bevriejd-en-dat-viere-wiej.wav	zee hebt ons bevriejd en dat viere wiej
wav/2ba93514-en-zo-is-t-kommen-dat-der-zoveul-verschillende-kiender-op-de-wereld-kommen-binnen.wav	en zo is t kommen dat der zoveul verschillende kiender op de wereld kommen binnen
wav/2ba93514-gonnent-waren-blaik-aandern-waren-rozeachteg-wit-en-weer-aandern-roomwit.wav	gonnent waren blaik aandern waren rozeachteg wit en weer aandern roomwit
wav/2ba93514-vandage-is-t-bevriejdingsdag.wav	vandage is t bevriejdingsdag
wav/916c1e46-wel-dat-dudelk-vernemen-kon-was-swaarde-mol.wav	wel dat dudelk vernemen kon was swaarde mol
wav/0a4ee0e6-t-was-krekt-of-t-hielemoal-veur-heur-beident-moakt-was.wav	t was krekt of t hielemoal veur heur beident moakt was
wav/916c1e46-ze-leken-nait-kwoad.wav	ze leken nait kwoad
wav/0a4ee0e6-k-wait-zeker-dat-gainain-mie-vinden-kin.wav	k wait zeker dat gainain mie vinden kin
wav/916c1e46-haar-ze-dat-wel-goud-heurd.wav	haar ze dat wel goud heurd
wav/916c1e46-t-leek-hail-nait-op-n-wit-wief.wav	t leek hail nait op n wit wief
wav/f1c16c59-woar-waren-heur-mooie-bloumen-mit-de-laange-linten.wav	woar waren heur mooie bloumen mit de laange linten
wav/f1c16c59-t-wor-stil-in-de-zoal-en-paulien-begon-te-speulen.wav	t wor stil in de zoal en paulien begon te speulen
wav/0a4ee0e6-nou-warren-ze-der-vlak-bij-en-konden-alles-van-hiel-dichtbij-bekieken.wav	nou warren ze der vlak bij en konden alles van hiel dichtbij bekieken
wav/916c1e46-en-k-kin-nog-laank-nait-sloapen.wav	en k kin nog laank nait sloapen
wav/916c1e46-woarom-zollen-zai-din-nog-laanger-onderdak-blieven.wav	woarom zollen zai din nog laanger onderdak blieven
wav/f1c16c59-heur-ol-pobbe-dij-aaltied-mit-op-berre-ging.wav	heur ol pobbe dij aaltied mit op berre ging
wav/0a4ee0e6-k-bin-gek-op-fruit.wav	k bin gek op fruit
wav/0a4ee0e6-ik-goa-ook-noar-huus-tou.wav	ik goa ook noar huus tou
wav/916c1e46-en-wos-persies-wat-der-gebeurd-was.wav	en wos persies wat der gebeurd was
wav/916c1e46-en-der-was-haildaal-niks-te-zain.wav	en der was haildaal niks te zain
wav/2ba93514-verdail-din-de-jam-over-dien-toart.wav	verdail din de jam over dien toart
wav/2ba93514-ze-doofde-t-vuur-en-huil-de-popkes-deroet.wav	ze doofde t vuur en huil de popkes deroet
wav/916c1e46-dij-klonk-hol.wav	dij klonk hol
wav/f1c16c59-ze-haar-n-prachtege-lichtblaauwe-laange-jurk-aan.wav	ze haar n prachtege lichtblaauwe laange jurk aan
wav/0a4ee0e6-dan-warren-ze-hier-n-schofke-om-e-deur-en-dan-weer-op-n-hiel-aner-stee.wav	dan warren ze hier n schofke om e deur en dan weer op n hiel aner stee
wav/0a4ee0e6-mit-mekoar-goan-dkinder-kieken-woar-wilco-zit.wav	mit mekoar goan dkinder kieken woar wilco zit
wav/f1c16c59-uut-nijsgiereghaid-runde-t-hondje-noar-de-viever-in-t-paark.wav	uut nijsgiereghaid runde t hondje noar de viever in t paark
wav/f1c16c59-en-bie-dij-hege-ston-n-swieniegel.wav	en bie dij hege ston n swieniegel
wav/2ba93514-perbaaier-de-bodem-zo-goud-meugelk-te-bedekken.wav	perbaaier de bodem zo goud meugelk te bedekken
wav/2ba93514-hail-laank-leden-toun-der-nog-gain-minsen-op-de-wereld-waren.wav	hail laank leden toun der nog gain minsen op de wereld waren
wav/0a4ee0e6-ze-atten-heur-eerst-es-lekker-zat-en-gingen-toen-mooi-n-beetje-uutrusten.wav	ze atten heur eerst es lekker zat en gingen toen mooi n beetje uutrusten
wav/f1c16c59-ze-wollen-aiglieks-nog-aal-open-blieven.wav	ze wollen aiglieks nog aal open blieven
wav/916c1e46-want-ze-konden-toch-nog-nait-in-toen-wezen.wav	want ze konden toch nog nait in toen wezen
wav/f1c16c59-ik-wol-dat-ik-hail-mooi-pioanospeulen-kon.wav	ik wol dat ik hail mooi pioanospeulen kon
wav/0a4ee0e6-allemoal-kleuren-deur-mekoar-hen.wav	allemoal kleuren deur mekoar hen
wav/f1c16c59-en-hai-gaf-hom-nog-n-stiever-stotje.wav	en hai gaf hom nog n stiever stotje
wav/0a4ee0e6-in-de-winkel-stoan-kisten-mit-gruinten-en-fruit-derin.wav	in de winkel stoan kisten mit gruinten en fruit derin
wav/916c1e46-kropen-ze-wel-van-zien-rug-of-en-zollen-heur-deur-bult-hin-vrozzeln.wav	kropen ze wel van zien rug of en zollen heur deur bult hin vrozzeln
wav/f1c16c59-dou-aal-vlugger-en-vlugger.wav	dou aal vlugger en vlugger
wav/916c1e46-ze-heurde-dat-schoef-van-deur-of-doan-wer.wav	ze heurde dat schoef van deur of doan wer
wav/0a4ee0e6-onderin-de-tas-ligt-moe-heur-poddemonnee.wav	onderin de tas ligt moe heur poddemonnee
wav/916c1e46-daip-onder-dekens-kroepen.wav	daip onder dekens kroepen
wav/0a4ee0e6-n-doef-ken-je-niet-van-t-ene-stee-noar-t-aner-overplakken-die-moeten-der-zo-vanuut-t-ei-ien.wav	n doef ken je niet van t ene stee noar t aner overplakken die moeten der zo vanuut t ei ien
wav/f1c16c59-dien-tromme-nait-vergeten.wav	dien tromme nait vergeten
wav/916c1e46-wat-is-n-toen-zunder-noakende-wiefkes.wav	wat is n toen zunder noakende wiefkes
wav/916c1e46-haren-ze-ook-niks-meer-te-schaften-mit-aal-dij-tulpen-en-krookjes.wav	haren ze ook niks meer te schaften mit aal dij tulpen en krookjes
wav/916c1e46-wie-pazen-goud-op-die.wav	wie pazen goud op die
wav/f1c16c59-dou-hai-zo-wit-was-as-snij-runde-t-hondje-haard-weg.wav	dou hai zo wit was as snij runde t hondje haard weg
wav/916c1e46-wat-broene-bloaren-lagen-as-n-deken-over-grond.wav	wat broene bloaren lagen as n deken over grond
wav/0a4ee0e6-kinder-stoan-op-n-kloetje-op-pad.wav	kinder stoan op n kloetje op pad
wav/2ba93514-ik-heb-n-plan-n-hail-schier-plan.wav	ik heb n plan n hail schier plan
wav/0a4ee0e6-mor-hai-maint-der-niks-van.wav	mor hai maint der niks van
wav/f1c16c59-wat-prikt-dat-aan-mien-tonen.wav	wat prikt dat aan mien tonen
wav/2ba93514-aapmoal-n-beetje-aans.wav	aapmoal n beetje aans
wav/916c1e46-doarnoa-konden-ze-heur-zulf-wel-wieder-redden.wav	doarnoa konden ze heur zulf wel wieder redden
wav/916c1e46-heurde-ze-wat-gezang.wav	heurde ze wat gezang
wav/f1c16c59-mor-deur-t-wotter-was-aal-t-vaarve-derof-goan-en-nou-was-t-hondje-weer-net-zo-swaart-as-veurtied.wav	mor deur t wotter was aal t vaarve derof goan en nou was t hondje weer net zo swaart as veurtied
wav/f1c16c59-en-hai-snurkde-n-beetje.wav	en hai snurkde n beetje
wav/916c1e46-en-zeg-nou-zulf.wav	en zeg nou zulf
wav/f1c16c59-dou-mie-aine.wav	dou mie aine
wav/f1c16c59-en-hai-gaf-hom-n-stotje-in-de-rogge.wav	en hai gaf hom n stotje in de rogge
wav/0a4ee0e6-hiel-veurzichteg-keken-de-beide-muskes-noar-beneden.wav	hiel veurzichteg keken de beide muskes noar beneden
wav/0a4ee0e6-ze-mossen-alles-goed-zien-kennen.wav	ze mossen alles goed zien kennen
wav/916c1e46-dat-ze-hier-in-borg-waren.wav	dat ze hier in borg waren
wav/2ba93514-an-alle-huze-in-de-straote-hangt-vlaggen.wav	an alle huze in de straote hangt vlaggen
wav/f1c16c59-en-ain-van-zien-stroalen-vuil-op-de-mooie-widde-staine.wav	en ain van zien stroalen vuil op de mooie widde staine
wav/f1c16c59-t-hondje-bedochde-zok-nait-en-sprong-de-viever-in.wav	t hondje bedochde zok nait en sprong de viever in
wav/916c1e46-hou-mos-zai-derin-komen.wav	hou mos zai derin komen
wav/916c1e46-din-beleefst-teminnent-wat.wav	din beleefst teminnent wat
wav/f1c16c59-allainde-n-beetje-klaainer-en-platter.wav	allainde n beetje klaainer en platter
wav/0a4ee0e6-hai-vrift-over-zien-zere-rug.wav	hai vrift over zien zere rug
wav/916c1e46-tied-was-tied.wav	tied was tied
wav/f1c16c59-ze-konden-goud-zain-want-ze-haren-aalmoal-n-brille-op.wav	ze konden goud zain want ze haren aalmoal n brille op
wav/f1c16c59-en-je-mozzen-wel-zingen-of-je-wollen-of-nait.wav	en je mozzen wel zingen of je wollen of nait
wav/2ba93514-toun-stoapelden-ze-holt-rondom-de-popkes-en-staken-dat-ien-brand.wav	toun stoapelden ze holt rondom de popkes en staken dat ien brand
wav/0a4ee0e6-de-beide-muskes-kropen-hiel-benaauwd-vot-ien-de-doevetil-zodat-gien-een-heur-zien-kon.wav	de beide muskes kropen hiel benaauwd vot ien de doevetil zodat gien een heur zien kon
wav/916c1e46-mor-der-was-gain-wind.wav	mor der was gain wind
wav/2ba93514-en-dus-mouken-ze-nog-meer-popkes.wav	en dus mouken ze nog meer popkes
wav/916c1e46-mor-ze-wollen-t-toch-ook-weer-nait-stiltjes-doun.wav	mor ze wollen t toch ook weer nait stiltjes doun
wav/f1c16c59-gefeliciteerd-mit-dien-verjoardag.wav	gefeliciteerd mit dien verjoardag
wav/0a4ee0e6-ze-lopen-de-weg-over-noar-n-leegstoand-huus-tou.wav	ze lopen de weg over noar n leegstoand huus tou
wav/0a4ee0e6-wat-deden-die-mannen-doar-wel.wav	wat deden die mannen doar wel
wav/2ba93514-ze-stoarde-noar-t-wotter-van-t-slootje-woar-ze-vlakbie-zat-en-puulde-mit-heur-handen-wat-rond-ien-de-natte-klaai.wav	ze stoarde noar t wotter van t slootje woar ze vlakbie zat en puulde mit heur handen wat rond ien de natte klaai
wav/0a4ee0e6-hai-vaalt-achterover-op-dgrond.wav	hai vaalt achterover op dgrond
wav/f1c16c59-inains-lag-ze-weer-op-berre-en-dou-ze-heur-ogen-open-dee-was-t-nog-routduuster.wav	inains lag ze weer op berre en dou ze heur ogen open dee was t nog routduuster
wav/916c1e46-t-was-wel-dudelk.wav	t was wel dudelk
wav/0a4ee0e6-tegen-widde-kool-zeggen-wie-ook-wel-van-boeskool.wav	tegen widde kool zeggen wie ook wel van boeskool
wav/916c1e46-as-mien-mamme-wait-dak-nait-op-ber-lig-din-is-t-nait-best.wav	as mien mamme wait dak nait op ber lig din is t nait best
wav/2ba93514-ze-doofden-t-vuur-en-hoalden-de-klaaipopkes-deroet.wav	ze doofden t vuur en hoalden de klaaipopkes deroet
wav/0a4ee0e6-de-beide-muskes-warren-toch-zo-bliede-dat-ze-al-kwetterend-n-poar-rondjes-boven-t-schoelplein-vlogen.wav	de beide muskes warren toch zo bliede dat ze al kwetterend n poar rondjes boven t schoelplein vlogen
wav/f1c16c59-in-zien-kertonnen-deuze-noast-berre.wav	in zien kertonnen deuze noast berre
wav/916c1e46-dou-inains-heurde-ze-wat-tegen-t-roam-aan-tikken.wav	dou inains heurde ze wat tegen t roam aan tikken
wav/916c1e46-t-was-nog-te-vroug.wav	t was nog te vroug
wav/0a4ee0e6-op-dstroat-blieven-ze-stoan.wav	op dstroat blieven ze stoan
wav/916c1e46-dij-hier-nait-veur-eerste-keer-kwamen.wav	dij hier nait veur eerste keer kwamen
wav/f1c16c59-op-n-dag-haar-t-routswaarde-hondje-n-plan.wav	op n dag haar t routswaarde hondje n plan
wav/2ba93514-d-in-mout-we-doar-votdoadelk-mit-aan-gang.wav	d in mout we doar votdoadelk mit aan gang
wav/2ba93514-gaais-hom-ook-moaken.wav	gaais hom ook moaken
wav/0a4ee0e6-nou-hewwe-veur-t-feest-de-doevetil-zo-mooi-opvaarfd-en-nou-is-der-gien-doef-te-zien.wav	nou hewwe veur t feest de doevetil zo mooi opvaarfd en nou is der gien doef te zien
wav/0a4ee0e6-de-drinkbakjes-warren-krekt-bijvuld-zo-t-leek.wav	de drinkbakjes warren krekt bijvuld zo t leek
wav/0a4ee0e6-twee-lutje-muskes-zwonden-mor-wat-om.wav	twee lutje muskes zwonden mor wat om
wav/f1c16c59-aan-de-kaande-stonden-de-pabbe-en-moeke-van-t-jonkje.wav	aan de kaande stonden de pabbe en moeke van t jonkje
wav/2ba93514-n-beetje-verschillend.wav	n beetje verschillend
wav/f1c16c59-wiert-dronk-zien-bekertje-in-ainmoal-leeg.wav	wiert dronk zien bekertje in ainmoal leeg
wav/916c1e46-noakende-wiefkes-wollen-noamelk-noar-boeten-tou.wav	noakende wiefkes wollen noamelk noar boeten tou
wav/916c1e46-en-zorgde-veur-aalmoal-bultjes-in-t-blaikveld-achter-t-hoes.wav	en zorgde veur aalmoal bultjes in t blaikveld achter t hoes
wav/916c1e46-ze-haren-n-plan-opbedocht.wav	ze haren n plan opbedocht
wav/916c1e46-pak-ons-mor-bie-haand.wav	pak ons mor bie haand
wav/916c1e46-dat-leek-heur-zulf-t-beste-tou.wav	dat leek heur zulf t beste tou
wav/f1c16c59-ze-keek-noar-t-nachtkassie-mor-kon-de-staine-nait-zain.wav	ze keek noar t nachtkassie mor kon de staine nait zain
wav/916c1e46-t-rook-der-muf.wav	t rook der muf
wav/2ba93514-hai-is-slim-lekker.wav	hai is slim lekker
wav/0a4ee0e6-n-allerliefst-mooi-huuske-veur-heur-beident.wav	n allerliefst mooi huuske veur heur beident
wav/916c1e46-of-en-tou-woarschaauwde-traain-deur-bie-spoorovergaang-te-toetern.wav	of en tou woarschaauwde traain deur bie spoorovergaang te toetern
wav/916c1e46-en-dikke-tulpenbollen-dij-hail-groot-en-staark-waren-zeden-t-zulfde.wav	en dikke tulpenbollen dij hail groot en staark waren zeden t zulfde
wav/0a4ee0e6-de-beide-muskes-werden-zo-neisgiereg-dat-ze-zomor-van-t-bredje-of-vlogen-en-aan-de-overkaant-van-t-schoelplein-op-de-geut-van-n-boerderij-zitten-gingen.wav	de beide muskes werden zo neisgiereg dat ze zomor van t bredje of vlogen en aan de overkaant van t schoelplein op de geut van n boerderij zitten gingen
wav/916c1e46-stil-ofwachten.wav	stil ofwachten
wav/f1c16c59-en-hai-was-hail-glad.wav	en hai was hail glad
wav/0a4ee0e6-want-den-glieden-dmensen-derover-uut.wav	want den glieden dmensen derover uut
wav/0a4ee0e6-de-gruinteboer-staait-mit-n-blaauw-schoet-veur-achter-de-teunbaank.wav	de gruinteboer staait mit n blaauw schoet veur achter de teunbaank
wav/916c1e46-en-ze-woarschaauwden-heur-ook-nog.wav	en ze woarschaauwden heur ook nog
wav/f1c16c59-mor-wie-reken-op-die.wav	mor wie reken op die
wav/916c1e46-veurlopeg-even-nait.wav	veurlopeg even nait
wav/916c1e46-zo-vlogen-zover-meulenweg-vlak-bie-bomen-laangs.wav	zo vlogen zover meulenweg vlak bie bomen laangs
wav/916c1e46-wat-kon-ze-nou-toch-bedenken-om-te-doun-ze-verveelde-heur.wav	wat kon ze nou toch bedenken om te doun ze verveelde heur
wav/916c1e46-en-dou-kon-ze-der-ook-in.wav	en dou kon ze der ook in
wav/916c1e46-en-dou-mouken-ze-n-grode-bocht-noar-links.wav	en dou mouken ze n grode bocht noar links
wav/916c1e46-aandere-winters-vil-der-snij.wav	aandere winters vil der snij
wav/0a4ee0e6-de-gruinteboer-knipt-in-zien-rooie-wangen.wav	de gruinteboer knipt in zien rooie wangen
wav/2ba93514-loat-we-nog-n-poar-moaken.wav	loat we nog n poar moaken
wav/0a4ee0e6-ze-begunnen-aalbaaident-te-giebeln.wav	ze begunnen aalbaaident te giebeln
wav/916c1e46-t-was-heur-zulfs-nog-te-vris.wav	t was heur zulfs nog te vris
wav/2ba93514-is-de-koning-weer-jeureg.wav	is de koning weer jeureg
wav/0a4ee0e6-dij-gruine-bloadjes-luzzen-ons-knientjes-ook-groag.wav	dij gruine bloadjes luzzen ons knientjes ook groag
wav/0a4ee0e6-t-kon-wel-feest-weden.wav	t kon wel feest weden
wav/916c1e46-as-der-din-zon-lozze-bult-zaand-aarns-in-t-gras-lag.wav	as der din zon lozze bult zaand aarns in t gras lag
wav/916c1e46-deur-aal-dij-gaangen-onder-grond.wav	deur aal dij gaangen onder grond
wav/0a4ee0e6-ze-trekken-kroezen-boven-dogen.wav	ze trekken kroezen boven dogen
wav/0a4ee0e6-allemoal-mooie-koamerkes.wav	allemoal mooie koamerkes
wav/916c1e46-en-was-bodem-haard-vroren.wav	en was bodem haard vroren
wav/916c1e46-t-was-november-en-hail-stil-boetendeur.wav	t was november en hail stil boetendeur
wav/916c1e46-en-dou-mozzen-ze-nog-n-poar-treden-noar-kelder-tou.wav	en dou mozzen ze nog n poar treden noar kelder tou
wav/916c1e46-ze-deden-niks-aans-as-sloapen.wav	ze deden niks aans as sloapen
wav/f1c16c59-hai-leek-wel-n-kloune-braaigoaren-zo-zachte-en-zo-rond.wav	hai leek wel n kloune braaigoaren zo zachte en zo rond
wav/f1c16c59-en-doar-zatten-ze-van-smorgens-vroug-tot-soavends-loat-in.wav	en doar zatten ze van smorgens vroug tot soavends loat in
wav/2ba93514-ienainen-kreeg-ze-n-idee.wav	ienainen kreeg ze n idee
wav/0a4ee0e6-ze-lopen-noar-de-gruinteboer-tou.wav	ze lopen noar de gruinteboer tou
wav/916c1e46-nee-der-overkomt-die-niks.wav	nee der overkomt die niks
wav/f1c16c59-hailmoal-in-n-knoedeltje-op-n-dikke-waarme-scheuveltruie.wav	hailmoal in n knoedeltje op n dikke waarme scheuveltruie
wav/f1c16c59-n-haile-gehaimzinnege-hudde-hur.wav	n haile gehaimzinnege hudde hur
wav/916c1e46-zai-vertelde-t-deur-aan-heur-vrundjes-en-dou-waren-ze-nait-meer-te-holden.wav	zai vertelde t deur aan heur vrundjes en dou waren ze nait meer te holden
wav/0a4ee0e6-gelukkeg-is-ales-nog-goudkomen.wav	gelukkeg is ales nog goudkomen
